Status,LeadSource,CreatedDate,AnnualRevenue,Sector,ProductInterest,State,IsConverted
New,Trade Show,2025-01-22,16225952,Financial Services,Group Health Insurance,Parana,0
New,LinkedIn,2025-02-15,17902788,Financial Services,Corporate Life Insurance,Sao Paulo,0
New,Web,2025-03-31,13990367,Banking,Fleet Auto Insurance,Minas Gerais,0
Working,Trade Show,2025-04-19,16687186,Banking,Commercial Property,Distrito Federal,0
New,Partner,2025-02-05,4309113,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,0
Closed - Converted,LinkedIn,2025-06-08,17593832,Financial Services,Directors & Officers (D&O),Rio de Janeiro,1
Closed - Converted,Trade Show,2025-11-19,1211974,FinTech,Corporate Life Insurance,Parana,1
Working,Partner,2025-07-17,3188146,Insurance,Commercial Property,Bahia,0
New,Web,2025-04-08,175496,Insurance,Directors & Officers (D&O),Distrito Federal,0
New,Partner,2025-03-01,834245,Healthcare,Commercial Property,Rio de Janeiro,0
Nurturing,Referral,2025-10-18,1784864,Financial Services,Corporate Life Insurance,Sao Paulo,0
New,LinkedIn,2025-03-22,47794582,Financial Services,Commercial Property,Parana,0
New,Partner,2025-03-11,2032444,Financial Services,Commercial Property,Distrito Federal,0
New,LinkedIn,2025-08-25,5731870,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
Nurturing,Partner,2025-01-06,5050673,Insurance,Pension Fund Management,Distrito Federal,0
New,LinkedIn,2025-06-17,9137544,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,0
New,LinkedIn,2025-08-19,216388568,Banking,Group Health Insurance,Sao Paulo,0
New,Cold Call,2025-04-22,3580166,Healthcare,Group Health Insurance,Santa Catarina,0
New,Cold Call,2025-03-12,987841,FinTech,Commercial Property,Bahia,0
Working,LinkedIn,2025-10-31,688738,Insurance,Directors & Officers (D&O),Parana,0
Closed - Converted,Trade Show,2025-05-13,1538500,Insurance,Corporate Life Insurance,Distrito Federal,1
Nurturing,Trade Show,2025-11-04,19374241,Financial Services,Fleet Auto Insurance,Distrito Federal,0
Nurturing,LinkedIn,2025-04-17,1764290,Insurance,Group Health Insurance,Parana,0
Closed - Converted,Web,2025-04-16,5546734,Financial Services,Commercial Property,Santa Catarina,1
Closed - Converted,Referral,2025-07-12,404852,FinTech,Corporate Life Insurance,Rio de Janeiro,1
Working,Cold Call,2025-02-06,8410736,Insurance,Pension Fund Management,Distrito Federal,0
Working,Web,2025-07-03,1816838,Insurance,Pension Fund Management,Rio Grande do Sul,0
Nurturing,Web,2025-09-12,856142,Insurance,Commercial Property,Santa Catarina,0
Closed - Not Converted,Partner,2025-03-01,6487630,Financial Services,Directors & Officers (D&O),Minas Gerais,0
New,Cold Call,2025-05-29,1011868,Insurance,Commercial Property,Sao Paulo,0
Working,Web,2025-02-19,776087,Healthcare,Commercial Property,Distrito Federal,0
Working,Cold Call,2025-04-16,1245613,Insurance,Commercial Property,Sao Paulo,0
Working,Web,2025-02-19,60111781,Financial Services,Cyber Liability Insurance,Sao Paulo,0
New,Cold Call,2025-01-04,18814305,Financial Services,Cyber Liability Insurance,Parana,0
Working,Trade Show,2025-11-14,6712510,Financial Services,Fleet Auto Insurance,Bahia,0
Working,Web,2025-02-16,4157720,Financial Services,Pension Fund Management,Sao Paulo,0
Nurturing,Partner,2025-05-23,124577386,Financial Services,Corporate Life Insurance,Sao Paulo,0
Closed - Not Converted,Web,2025-01-04,478568,Insurance,Fleet Auto Insurance,Parana,0
New,LinkedIn,2025-05-17,4850059,Financial Services,Group Health Insurance,Santa Catarina,0
Closed - Converted,Web,2025-10-04,1632794,Insurance,Fleet Auto Insurance,Parana,1
Closed - Not Converted,Cold Call,2025-04-02,1311595,Financial Services,Cyber Liability Insurance,Distrito Federal,0
Working,LinkedIn,2025-11-02,12896882,Financial Services,Corporate Life Insurance,Parana,0
Closed - Converted,LinkedIn,2025-11-21,2539308,Insurance,Corporate Life Insurance,Santa Catarina,1
Working,Cold Call,2025-08-19,1127626,FinTech,Group Health Insurance,Parana,0
Working,Web,2025-05-20,1863353,Banking,Directors & Officers (D&O),Sao Paulo,0
Closed - Converted,LinkedIn,2025-07-09,5367794,Banking,Commercial Property,Bahia,1
Working,LinkedIn,2025-03-26,2345886,Financial Services,Group Health Insurance,Parana,0
New,Referral,2025-07-13,6712734,Financial Services,Group Health Insurance,Rio de Janeiro,0
Working,Referral,2025-01-26,11753587,Financial Services,Directors & Officers (D&O),Santa Catarina,0
Working,Referral,2025-01-13,560657,Insurance,Pension Fund Management,Sao Paulo,0
New,LinkedIn,2025-02-27,501082,Insurance,Cyber Liability Insurance,Santa Catarina,0
Working,Trade Show,2025-02-15,586273,Healthcare,Directors & Officers (D&O),Sao Paulo,0
New,Web,2025-10-24,1622824,Retail,Cyber Liability Insurance,Santa Catarina,0
Closed - Not Converted,Trade Show,2025-10-20,1087786,Insurance,Group Health Insurance,Distrito Federal,0
Working,Referral,2025-02-19,3252327,Financial Services,Cyber Liability Insurance,Minas Gerais,0
Nurturing,Trade Show,2025-04-20,4406591,Financial Services,Commercial Property,Rio de Janeiro,0
Nurturing,Referral,2025-05-06,217392,Insurance,Group Health Insurance,Minas Gerais,0
New,Referral,2025-07-29,1391460,Retail,Pension Fund Management,Sao Paulo,0
Nurturing,LinkedIn,2025-01-12,2147518,Financial Services,Cyber Liability Insurance,Distrito Federal,0
Working,Partner,2025-08-20,1506513,Financial Services,Group Health Insurance,Distrito Federal,0
New,Cold Call,2025-04-24,141710,Insurance,Corporate Life Insurance,Parana,0
Working,LinkedIn,2025-04-11,1476821,Insurance,Group Health Insurance,Bahia,0
Working,Referral,2025-03-18,51659840,Financial Services,Directors & Officers (D&O),Sao Paulo,0
Working,Partner,2025-08-12,6129124,Banking,Cyber Liability Insurance,Distrito Federal,0
New,Web,2025-02-09,9682317,Financial Services,Group Health Insurance,Bahia,0
Working,Referral,2025-05-02,732488,Insurance,Cyber Liability Insurance,Parana,0
Closed - Converted,Referral,2025-11-11,4686264,Financial Services,Cyber Liability Insurance,Santa Catarina,1
Nurturing,Referral,2025-06-23,501239,Insurance,Fleet Auto Insurance,Rio Grande do Sul,0
Working,Web,2025-01-19,374671,Insurance,Fleet Auto Insurance,Rio Grande do Sul,0
Closed - Not Converted,LinkedIn,2025-09-11,624341,Insurance,Commercial Property,Rio de Janeiro,0
Closed - Not Converted,Partner,2025-03-19,2095038,Financial Services,Fleet Auto Insurance,Sao Paulo,0
New,Referral,2025-09-05,3410700,Financial Services,Pension Fund Management,Minas Gerais,0
Closed - Not Converted,Web,2025-04-21,403172,Insurance,Corporate Life Insurance,Sao Paulo,0
Nurturing,Trade Show,2025-01-21,57509975,Financial Services,Directors & Officers (D&O),Santa Catarina,0
New,Referral,2025-05-07,3774224,Banking,Group Health Insurance,Distrito Federal,0
Working,Web,2025-09-26,4184082,Financial Services,Corporate Life Insurance,Bahia,0
New,Web,2025-11-19,48629866,Financial Services,Corporate Life Insurance,Minas Gerais,0
Closed - Converted,Cold Call,2025-08-09,23054040,Financial Services,Fleet Auto Insurance,Rio de Janeiro,1
Closed - Converted,Trade Show,2025-11-21,679095,FinTech,Cyber Liability Insurance,Sao Paulo,1
Closed - Converted,Referral,2025-03-22,21575550,Financial Services,Fleet Auto Insurance,Distrito Federal,1
Working,Partner,2025-05-22,224859,FinTech,Corporate Life Insurance,Rio de Janeiro,0
Working,Trade Show,2025-08-06,156797,Insurance,Commercial Property,Sao Paulo,0
New,Cold Call,2025-06-21,508150,Insurance,Commercial Property,Bahia,0
Closed - Not Converted,LinkedIn,2025-07-30,8755257,Financial Services,Fleet Auto Insurance,Rio de Janeiro,0
Nurturing,Trade Show,2025-11-21,6521435,Retail,Cyber Liability Insurance,Rio de Janeiro,0
Working,Referral,2025-01-30,1543156,Retail,Fleet Auto Insurance,Rio Grande do Sul,0
New,Trade Show,2025-02-02,3431821,Financial Services,Cyber Liability Insurance,Bahia,0
Working,Partner,2025-10-23,744690,Retail,Commercial Property,Rio Grande do Sul,0
Closed - Not Converted,LinkedIn,2025-07-12,2534144,Insurance,Commercial Property,Bahia,0
New,Trade Show,2025-06-11,7914519,Financial Services,Group Health Insurance,Parana,0
Working,Partner,2025-05-30,1598949,Insurance,Pension Fund Management,Bahia,0
Working,Web,2025-01-05,13029774,Financial Services,Cyber Liability Insurance,Parana,0
New,Cold Call,2025-08-25,1111168,Retail,Group Health Insurance,Minas Gerais,0
Working,Cold Call,2025-02-26,26236303,Financial Services,Pension Fund Management,Distrito Federal,0
Nurturing,Partner,2025-06-12,952639,Insurance,Directors & Officers (D&O),Santa Catarina,0
Working,LinkedIn,2025-01-06,1991274,Insurance,Pension Fund Management,Minas Gerais,0
Working,Web,2025-04-26,4678759,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
Closed - Converted,Cold Call,2025-08-15,19521117,Financial Services,Corporate Life Insurance,Rio Grande do Sul,1
New,LinkedIn,2025-06-28,14483796,Financial Services,Commercial Property,Minas Gerais,0
Working,Web,2025-04-15,16250875,Financial Services,Directors & Officers (D&O),Sao Paulo,0
New,Trade Show,2025-04-08,1900003,Financial Services,Fleet Auto Insurance,Sao Paulo,0
Closed - Converted,Referral,2025-02-18,10124626,Banking,Group Health Insurance,Parana,1
New,LinkedIn,2025-08-06,20931316,Financial Services,Pension Fund Management,Parana,0
Closed - Converted,Partner,2025-09-12,14960500,Financial Services,Commercial Property,Bahia,1
New,Cold Call,2025-06-12,19081694,Financial Services,Pension Fund Management,Santa Catarina,0
Closed - Not Converted,Referral,2025-07-06,534882,Insurance,Cyber Liability Insurance,Distrito Federal,0
Closed - Not Converted,LinkedIn,2025-11-08,1323564,Insurance,Corporate Life Insurance,Rio de Janeiro,0
Closed - Converted,LinkedIn,2025-11-27,6061977,Financial Services,Fleet Auto Insurance,Rio Grande do Sul,1
New,Trade Show,2025-04-01,11679180,Financial Services,Directors & Officers (D&O),Santa Catarina,0
Working,Trade Show,2025-11-25,2954589,Retail,Fleet Auto Insurance,Rio Grande do Sul,0
Working,Cold Call,2025-05-31,503317,Healthcare,Directors & Officers (D&O),Rio de Janeiro,0
Closed - Not Converted,Web,2025-09-27,53823306,Banking,Fleet Auto Insurance,Bahia,0
Working,Web,2025-05-09,1258390,Banking,Directors & Officers (D&O),Santa Catarina,0
New,Referral,2025-09-19,1058147,Insurance,Directors & Officers (D&O),Sao Paulo,0
Working,Cold Call,2025-06-18,1319904,Insurance,Directors & Officers (D&O),Rio de Janeiro,0
Nurturing,Web,2025-11-09,918580,Retail,Cyber Liability Insurance,Rio de Janeiro,0
New,Web,2025-03-07,370190,Insurance,Group Health Insurance,Bahia,0
Nurturing,Cold Call,2025-11-19,25291543,Financial Services,Commercial Property,Santa Catarina,0
Working,Partner,2025-07-26,47179448,Financial Services,Group Health Insurance,Santa Catarina,0
Working,Web,2025-03-01,192942,Retail,Cyber Liability Insurance,Santa Catarina,0
Nurturing,Partner,2025-06-12,8031142,Banking,Group Health Insurance,Parana,0
New,Referral,2025-09-25,1659066,Financial Services,Commercial Property,Rio de Janeiro,0
Closed - Converted,Referral,2025-01-10,17361610,Financial Services,Group Health Insurance,Parana,1
Closed - Converted,Trade Show,2025-03-23,5208556,Financial Services,Fleet Auto Insurance,Rio de Janeiro,1
Working,Referral,2025-02-13,8884192,Financial Services,Cyber Liability Insurance,Rio Grande do Sul,0
Working,Web,2025-10-05,8047396,Financial Services,Commercial Property,Sao Paulo,0
New,Partner,2025-04-28,14422060,Financial Services,Directors & Officers (D&O),Distrito Federal,0
New,LinkedIn,2025-07-24,319187,Retail,Pension Fund Management,Sao Paulo,0
New,Cold Call,2025-01-31,18521025,Banking,Group Health Insurance,Minas Gerais,0
New,Cold Call,2025-03-14,208622,Insurance,Commercial Property,Bahia,0
New,Partner,2025-04-18,932115,Healthcare,Corporate Life Insurance,Rio Grande do Sul,0
Closed - Not Converted,Trade Show,2025-09-03,5195438,Banking,Directors & Officers (D&O),Santa Catarina,0
New,Web,2025-09-15,10831040,Financial Services,Cyber Liability Insurance,Parana,0
Closed - Converted,Web,2025-11-10,6369120,Financial Services,Commercial Property,Bahia,1
New,Partner,2025-08-17,14858968,Financial Services,Corporate Life Insurance,Rio Grande do Sul,0
Working,Referral,2025-11-17,19283237,Financial Services,Corporate Life Insurance,Bahia,0
Nurturing,Partner,2025-10-28,11294414,Financial Services,Group Health Insurance,Parana,0
Closed - Converted,Web,2025-01-21,8472785,Insurance,Corporate Life Insurance,Bahia,1
Working,Cold Call,2025-04-20,8111687,Insurance,Cyber Liability Insurance,Santa Catarina,0
Closed - Converted,Web,2025-05-03,28582629,Financial Services,Fleet Auto Insurance,Bahia,1
Closed - Not Converted,Trade Show,2025-06-18,4139571,Banking,Pension Fund Management,Bahia,0
Working,Referral,2025-06-13,4817124,Financial Services,Fleet Auto Insurance,Distrito Federal,0
Closed - Converted,Cold Call,2025-04-02,15721976,Financial Services,Group Health Insurance,Minas Gerais,1
New,Cold Call,2025-09-29,4441354,Financial Services,Directors & Officers (D&O),Bahia,0
Closed - Not Converted,Partner,2025-01-17,5233326,Financial Services,Corporate Life Insurance,Sao Paulo,0
New,Web,2025-10-24,8313693,Financial Services,Cyber Liability Insurance,Distrito Federal,0
New,LinkedIn,2025-04-07,4643606,Financial Services,Commercial Property,Rio de Janeiro,0
Closed - Converted,LinkedIn,2025-05-28,55592568,Financial Services,Corporate Life Insurance,Rio Grande do Sul,1
New,Cold Call,2025-10-24,1331445,Retail,Corporate Life Insurance,Santa Catarina,0
Working,Trade Show,2025-04-29,12054186,Financial Services,Commercial Property,Sao Paulo,0
Working,Partner,2025-07-24,599895,Insurance,Directors & Officers (D&O),Bahia,0
New,Referral,2025-04-12,5485934,Financial Services,Commercial Property,Parana,0
New,Trade Show,2025-09-25,15472132,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
New,Referral,2025-01-07,1702697,Banking,Cyber Liability Insurance,Distrito Federal,0
Working,Referral,2025-02-14,18675554,Financial Services,Commercial Property,Minas Gerais,0
Working,Web,2025-09-15,5327025,Financial Services,Pension Fund Management,Sao Paulo,0
New,LinkedIn,2025-08-30,67346,Insurance,Group Health Insurance,Sao Paulo,0
Closed - Not Converted,Referral,2025-02-05,1047491,Insurance,Fleet Auto Insurance,Bahia,0
Closed - Converted,Cold Call,2025-02-04,12747714,Financial Services,Directors & Officers (D&O),Rio Grande do Sul,1
New,LinkedIn,2025-07-01,6258194,Financial Services,Fleet Auto Insurance,Sao Paulo,0
Working,Partner,2025-10-29,4876059,Financial Services,Corporate Life Insurance,Parana,0
Working,LinkedIn,2025-10-27,898205,FinTech,Fleet Auto Insurance,Minas Gerais,0
Working,Cold Call,2025-09-20,1410946,FinTech,Directors & Officers (D&O),Sao Paulo,0
New,Web,2025-07-01,12608253,Financial Services,Corporate Life Insurance,Santa Catarina,0
New,Trade Show,2025-05-24,329216,Insurance,Corporate Life Insurance,Santa Catarina,0
Nurturing,Cold Call,2025-07-11,5116113,Financial Services,Group Health Insurance,Bahia,0
Working,LinkedIn,2025-05-15,27537959,Financial Services,Fleet Auto Insurance,Sao Paulo,0
New,Trade Show,2025-11-19,6925817,Financial Services,Corporate Life Insurance,Parana,0
New,Referral,2025-02-20,4397936,Healthcare,Fleet Auto Insurance,Santa Catarina,0
New,Referral,2025-10-08,17667613,Financial Services,Cyber Liability Insurance,Distrito Federal,0
Closed - Converted,LinkedIn,2025-04-26,615877,FinTech,Commercial Property,Santa Catarina,1
New,Partner,2025-02-27,20102684,Financial Services,Corporate Life Insurance,Distrito Federal,0
New,Trade Show,2025-03-02,281658,FinTech,Corporate Life Insurance,Bahia,0
New,Referral,2025-07-31,365552,Insurance,Pension Fund Management,Bahia,0
Working,Partner,2025-03-17,5440467,Banking,Group Health Insurance,Rio de Janeiro,0
New,Partner,2025-05-01,62705309,Financial Services,Pension Fund Management,Bahia,0
Closed - Converted,Web,2025-09-03,4726100,Financial Services,Corporate Life Insurance,Rio Grande do Sul,1
Closed - Converted,Trade Show,2025-09-25,1389972,Insurance,Group Health Insurance,Rio Grande do Sul,1
Working,Trade Show,2025-07-20,2070028,Insurance,Corporate Life Insurance,Santa Catarina,0
Closed - Converted,Web,2025-08-23,1670150,Healthcare,Cyber Liability Insurance,Minas Gerais,1
Working,Partner,2025-07-14,2130775,Insurance,Pension Fund Management,Rio Grande do Sul,0
Closed - Converted,Trade Show,2025-10-24,27198923,Financial Services,Directors & Officers (D&O),Parana,1
Closed - Converted,Partner,2025-03-28,18924631,Financial Services,Corporate Life Insurance,Sao Paulo,1
Nurturing,Referral,2025-02-10,1555427,Healthcare,Pension Fund Management,Minas Gerais,0
Nurturing,Referral,2025-10-28,8943346,Banking,Commercial Property,Minas Gerais,0
Working,Partner,2025-09-17,637722,Insurance,Corporate Life Insurance,Distrito Federal,0
Closed - Converted,Referral,2025-10-05,131435,Insurance,Commercial Property,Rio Grande do Sul,1
New,Referral,2025-11-10,5639882,Financial Services,Commercial Property,Santa Catarina,0
New,Cold Call,2025-11-11,4944520,Banking,Corporate Life Insurance,Minas Gerais,0
Closed - Converted,Web,2025-03-18,375872,FinTech,Cyber Liability Insurance,Rio de Janeiro,1
Closed - Converted,Cold Call,2025-11-16,12322583,Financial Services,Group Health Insurance,Rio Grande do Sul,1
Working,Trade Show,2025-05-06,35271784,Financial Services,Group Health Insurance,Sao Paulo,0
Nurturing,LinkedIn,2025-05-03,6576065,Insurance,Corporate Life Insurance,Sao Paulo,0
Working,Trade Show,2025-01-09,4759717,Financial Services,Group Health Insurance,Santa Catarina,0
Working,Cold Call,2025-07-13,8173078,Financial Services,Pension Fund Management,Sao Paulo,0
Closed - Converted,LinkedIn,2025-03-23,1340587,Insurance,Cyber Liability Insurance,Minas Gerais,1
New,Web,2025-03-31,4481594,Financial Services,Commercial Property,Minas Gerais,0
New,Trade Show,2025-01-18,1903359,Insurance,Fleet Auto Insurance,Rio Grande do Sul,0
Closed - Not Converted,Trade Show,2025-07-23,288299,Insurance,Pension Fund Management,Rio Grande do Sul,0
New,Web,2025-11-16,4068707,Financial Services,Pension Fund Management,Parana,0
New,Trade Show,2025-10-13,5110369,Insurance,Group Health Insurance,Parana,0
Closed - Converted,LinkedIn,2025-09-10,6827249,Financial Services,Fleet Auto Insurance,Sao Paulo,1
Closed - Not Converted,LinkedIn,2025-10-29,1262180,Insurance,Pension Fund Management,Distrito Federal,0
Closed - Converted,Partner,2025-09-20,5031464,Financial Services,Corporate Life Insurance,Bahia,1
New,Web,2025-07-18,505686,Insurance,Directors & Officers (D&O),Rio Grande do Sul,0
Nurturing,Partner,2025-08-13,1282303,Banking,Group Health Insurance,Santa Catarina,0
New,Referral,2025-08-16,2104672,Banking,Commercial Property,Sao Paulo,0
New,Partner,2025-04-24,4768734,Financial Services,Group Health Insurance,Parana,0
Closed - Converted,Referral,2025-10-05,20882754,Financial Services,Cyber Liability Insurance,Santa Catarina,1
Closed - Converted,Trade Show,2025-06-30,28425080,Banking,Fleet Auto Insurance,Rio de Janeiro,1
Closed - Converted,Partner,2025-07-19,2367922,Insurance,Corporate Life Insurance,Distrito Federal,1
New,Web,2025-06-01,7781883,Financial Services,Corporate Life Insurance,Distrito Federal,0
Working,Referral,2025-01-06,1481911,Banking,Corporate Life Insurance,Bahia,0
Closed - Converted,Cold Call,2025-10-29,1362521,FinTech,Directors & Officers (D&O),Parana,1
Working,Partner,2025-06-28,1750348,Insurance,Pension Fund Management,Parana,0
New,Partner,2025-03-02,4680183,Insurance,Pension Fund Management,Rio de Janeiro,0
Working,Web,2025-06-07,632086,Insurance,Directors & Officers (D&O),Sao Paulo,0
Closed - Not Converted,Partner,2025-07-15,847945,FinTech,Group Health Insurance,Bahia,0
New,Cold Call,2025-10-14,68596334,Financial Services,Commercial Property,Parana,0
Working,Web,2025-02-18,918544,Insurance,Directors & Officers (D&O),Bahia,0
Working,LinkedIn,2025-07-20,753094,Insurance,Directors & Officers (D&O),Rio Grande do Sul,0
Working,Cold Call,2025-03-02,4042859,Insurance,Corporate Life Insurance,Bahia,0
Working,Cold Call,2025-08-29,1327003,Insurance,Cyber Liability Insurance,Sao Paulo,0
New,Cold Call,2025-09-15,27611959,Financial Services,Commercial Property,Bahia,0
Nurturing,Partner,2025-11-05,32195228,Financial Services,Cyber Liability Insurance,Parana,0
Nurturing,Web,2025-08-02,6248858,Financial Services,Commercial Property,Parana,0
Closed - Converted,Referral,2025-06-14,637019,Insurance,Pension Fund Management,Sao Paulo,1
Working,Web,2025-06-18,4152221,Financial Services,Fleet Auto Insurance,Santa Catarina,0
Closed - Converted,Cold Call,2025-04-04,9204262,Financial Services,Pension Fund Management,Sao Paulo,1
Closed - Converted,Trade Show,2025-06-04,25033917,Financial Services,Cyber Liability Insurance,Parana,1
Working,Referral,2025-08-14,5779748,Insurance,Fleet Auto Insurance,Bahia,0
Working,LinkedIn,2025-01-23,6089667,Financial Services,Commercial Property,Sao Paulo,0
Working,Trade Show,2025-10-23,17686347,Financial Services,Directors & Officers (D&O),Parana,0
Closed - Converted,Web,2025-04-30,1401970,Insurance,Group Health Insurance,Rio de Janeiro,1
Nurturing,Trade Show,2025-01-11,182837620,Financial Services,Pension Fund Management,Sao Paulo,0
New,LinkedIn,2025-09-03,282105,Insurance,Pension Fund Management,Rio de Janeiro,0
Working,Trade Show,2025-04-20,55936822,Financial Services,Fleet Auto Insurance,Rio de Janeiro,0
Closed - Converted,Referral,2025-06-21,574153,Insurance,Fleet Auto Insurance,Distrito Federal,1
Closed - Converted,Partner,2025-08-16,5471728,Healthcare,Fleet Auto Insurance,Sao Paulo,1
Working,Referral,2025-10-26,5401171,Financial Services,Directors & Officers (D&O),Rio Grande do Sul,0
New,Referral,2025-03-06,14670834,Financial Services,Commercial Property,Rio de Janeiro,0
Working,Trade Show,2025-04-12,7860061,Banking,Group Health Insurance,Rio Grande do Sul,0
Closed - Converted,Trade Show,2025-01-30,3984581,Insurance,Directors & Officers (D&O),Rio de Janeiro,1
New,Cold Call,2025-01-02,1551130,Insurance,Cyber Liability Insurance,Distrito Federal,0
Closed - Converted,LinkedIn,2025-05-20,15136506,Banking,Commercial Property,Rio Grande do Sul,1
Working,Trade Show,2025-08-16,2423398,Insurance,Group Health Insurance,Sao Paulo,0
New,Cold Call,2025-05-11,6504177,Financial Services,Directors & Officers (D&O),Parana,0
New,LinkedIn,2025-08-30,15529298,Financial Services,Pension Fund Management,Bahia,0
Closed - Converted,Web,2025-07-09,765320,Insurance,Fleet Auto Insurance,Bahia,1
Nurturing,Trade Show,2025-08-10,387033,Insurance,Fleet Auto Insurance,Santa Catarina,0
Nurturing,Cold Call,2025-09-17,914347,Insurance,Directors & Officers (D&O),Santa Catarina,0
Closed - Converted,Trade Show,2025-11-11,1119085,Financial Services,Commercial Property,Rio de Janeiro,1
Closed - Converted,Partner,2025-07-27,11249955,Financial Services,Cyber Liability Insurance,Distrito Federal,1
Working,Web,2025-04-13,6030388,Financial Services,Commercial Property,Rio de Janeiro,0
New,Web,2025-04-27,3556725,Insurance,Fleet Auto Insurance,Distrito Federal,0
New,Web,2025-09-28,3078142,Financial Services,Corporate Life Insurance,Rio Grande do Sul,0
Working,Referral,2025-11-20,1028570,FinTech,Fleet Auto Insurance,Rio Grande do Sul,0
New,Referral,2025-09-22,1972276,FinTech,Corporate Life Insurance,Bahia,0
Working,LinkedIn,2025-05-24,6244870,Financial Services,Cyber Liability Insurance,Minas Gerais,0
New,Referral,2025-08-21,1588539,Insurance,Group Health Insurance,Santa Catarina,0
Nurturing,Cold Call,2025-02-05,1929274,FinTech,Corporate Life Insurance,Rio de Janeiro,0
Closed - Not Converted,Partner,2025-09-08,1781155,FinTech,Corporate Life Insurance,Minas Gerais,0
Closed - Converted,Trade Show,2025-03-12,1119719,Insurance,Directors & Officers (D&O),Santa Catarina,1
Closed - Converted,Cold Call,2025-03-31,8656804,Insurance,Commercial Property,Rio Grande do Sul,1
Working,Cold Call,2025-05-07,3438252,Healthcare,Pension Fund Management,Bahia,0
Closed - Not Converted,Referral,2025-01-21,2636414,Financial Services,Cyber Liability Insurance,Sao Paulo,0
Working,LinkedIn,2025-10-21,3659303,Insurance,Cyber Liability Insurance,Minas Gerais,0
New,Cold Call,2025-05-09,6452924,FinTech,Group Health Insurance,Minas Gerais,0
Working,Partner,2025-04-13,1057161,Insurance,Directors & Officers (D&O),Rio de Janeiro,0
New,Web,2025-10-13,3244058,Insurance,Commercial Property,Distrito Federal,0
New,Referral,2025-11-13,1227175,Financial Services,Pension Fund Management,Santa Catarina,0
New,Referral,2025-01-09,2506398,Insurance,Fleet Auto Insurance,Distrito Federal,0
Working,Referral,2025-03-31,1656413,FinTech,Fleet Auto Insurance,Parana,0
New,LinkedIn,2025-07-26,2774481,Healthcare,Corporate Life Insurance,Minas Gerais,0
Working,LinkedIn,2025-03-19,19190487,Financial Services,Directors & Officers (D&O),Santa Catarina,0
Closed - Converted,LinkedIn,2025-06-14,6046983,Financial Services,Corporate Life Insurance,Santa Catarina,1
New,Cold Call,2025-08-03,553969,Insurance,Cyber Liability Insurance,Distrito Federal,0
Closed - Converted,Web,2025-01-20,5670487,Financial Services,Commercial Property,Santa Catarina,1
Working,LinkedIn,2025-09-08,5072979,Insurance,Directors & Officers (D&O),Rio de Janeiro,0
Closed - Converted,Referral,2025-05-01,2506877,Healthcare,Cyber Liability Insurance,Sao Paulo,1
New,LinkedIn,2025-03-27,5519989,Banking,Pension Fund Management,Rio Grande do Sul,0
