Id,Name,StageName,Amount,CreatedDate,CloseDate,Probability,LeadSource,Product,LeadId
0069387ee5f6e91,Aperture Science 67 - Cyber Liability Insurance,Closed Won,8445,2025-03-18,2025-09-04,100,Web,Cyber Liability Insurance,00Q3251e5588634
00679b71b0cd9db,Globex 8 - Group Health Insurance,Closed Lost,440036,2025-11-16,2026-03-20,0,Cold Call,Group Health Insurance,00Qa4e572b1768f
006b29c186218a6,Massive Dynamic 59 - Cyber Liability Insurance,Closed Won,15022,2025-03-23,2025-09-02,100,LinkedIn,Cyber Liability Insurance,00Qc967a7e20564
006db27d32160fa,Initech 2 - Fleet Auto Insurance,Closed Lost,310305,2025-09-10,2026-03-02,0,LinkedIn,Fleet Auto Insurance,00Q6b723b68a111
00672b4e41858a1,Initech 94 - Corporate Life Insurance,Closed Lost,64277,2025-09-20,2025-12-01,0,Partner,Corporate Life Insurance,00Q7410a6fa6b33
006422c5b4486f8,LexCorp 79 - Cyber Liability Insurance,Closed Lost,729005,2025-10-05,2025-12-27,0,Referral,Cyber Liability Insurance,00Q3148b8fd9e74
00635b93b758200,MomCorp 63 - Fleet Auto Insurance,Negotiation/Review,889615,2025-06-30,2025-12-21,90,Trade Show,Fleet Auto Insurance,00Q6f973412ea43
0060433e957cc63,Umbrella Corp 68 - Corporate Life Insurance,Closed Won,28702,2025-07-19,2026-01-15,100,Partner,Corporate Life Insurance,00Q9f3375c5ff08
006ee114e992104,Oscorp 54 - Directors & Officers (D&O),Closed Won,44221,2025-10-29,2026-02-08,100,Cold Call,Directors & Officers (D&O),00Q740f93d4ea41
0060731d3d706a8,Umbrella Corp 60 - Pension Fund Management,Closed Won,30688,2025-06-14,2025-10-13,100,Referral,Pension Fund Management,00Qe0580601b705
006d0fef22b7d76,Tyrell Corp 53 - Pension Fund Management,Closed Won,263629,2025-04-04,2025-08-01,100,Cold Call,Pension Fund Management,00Q1a424806d14a
006acfa18c63e21,Soylent Corp 41 - Cyber Liability Insurance,Closed Won,1033324,2025-06-04,2025-08-21,100,Trade Show,Cyber Liability Insurance,00Qc6eae0b4154a
006113025bdeb82,LexCorp 77 - Group Health Insurance,Closed Won,69636,2025-04-30,2025-08-03,100,Web,Group Health Insurance,00Q86604eba57a6
0067f80861b828a,Initech 66 - Fleet Auto Insurance,Closed Won,9439,2025-06-21,2025-11-10,100,Referral,Fleet Auto Insurance,00Q5dada0010e12
006c1c79a83ac97,Vandelay Ind 14 - Fleet Auto Insurance,Closed Won,235892,2025-08-16,2025-09-16,100,Partner,Fleet Auto Insurance,00Qa3bc35c013c6
00612a0b8787f6d,Umbrella Corp 82 - Directors & Officers (D&O),Closed Lost,56176,2025-01-30,2025-06-03,0,Trade Show,Directors & Officers (D&O),00Qfb641e9826ce
00602823e2f2653,Initech 77 - Commercial Property,Closed Won,203409,2025-05-20,2025-08-21,100,LinkedIn,Commercial Property,00Qb37f2ab28da5
0065b79970409c2,Stark Ind 72 - Fleet Auto Insurance,Closed Won,16347,2025-07-09,2025-12-21,100,Web,Fleet Auto Insurance,00Q4cc4e62e5180
006ce245747c196,LexCorp 90 - Commercial Property,Closed Won,53266,2025-11-11,2026-01-29,100,Trade Show,Commercial Property,00Q53dc7104f33d
006ef2f90513efd,Oscorp 15 - Cyber Liability Insurance,Closed Won,273167,2025-07-27,2025-11-28,100,Partner,Cyber Liability Insurance,00Q71e76b3a046d
0066dee7268be0b,Cyberdyne 78 - Directors & Officers (D&O),Closed Won,54540,2025-03-12,2025-07-17,100,Trade Show,Directors & Officers (D&O),00Q5fda695e3a70
006e08e4e6e85f4,Cyberdyne 29 - Commercial Property,Closed Won,255225,2025-03-31,2025-08-31,100,Cold Call,Commercial Property,00Q25d9661942a3
006e785466b8ce0,Umbrella Corp 47 - Corporate Life Insurance,Closed Won,157014,2025-06-14,2025-07-16,100,LinkedIn,Corporate Life Insurance,00Qafa9d2fe9f6c
00656895aa58293,Dunder Mifflin 17 - Commercial Property,Closed Won,142523,2025-01-20,2025-06-14,100,Web,Commercial Property,00Qad70cb7572e1
006f7b516d182f7,Umbrella Corp 35 - Cyber Liability Insurance,Closed Won,125095,2025-05-01,2025-10-16,100,Referral,Cyber Liability Insurance,00Q3b101ce3e505
0062a4bb849825a,Wayne Ent 20 - Corporate Life Insurance,Closed Won,405794,2025-04-29,2025-10-19,100,Partner,Corporate Life Insurance,00Q25f392a88009
0062c1a44b10f27,Initech 93 - Directors & Officers (D&O),Closed Won,119477,2025-01-31,2025-06-05,100,Cold Call,Directors & Officers (D&O),00Q1540371b5df1
00689cd354a702d,Wayne Ent 45 - Pension Fund Management,Closed Lost,95090,2025-11-12,2026-04-19,0,LinkedIn,Pension Fund Management,00Q4281f85283d5
0065831a707ec21,Dunder Mifflin 91 - Cyber Liability Insurance,Closed Lost,682007,2025-07-31,2026-01-22,0,Cold Call,Cyber Liability Insurance,00Q623dd871f178
006f1a2ce044180,Oscorp 80 - Cyber Liability Insurance,Closed Won,544305,2025-04-06,2025-08-03,100,Referral,Cyber Liability Insurance,00Q9cd823896317
00643c2c5d6fbdd,Initech 93 - Commercial Property,Closed Won,5886,2025-08-25,2025-11-22,100,Referral,Commercial Property,00Q28b6b02c30a4
0066a4347a2a6ab,Umbrella Corp 94 - Cyber Liability Insurance,Closed Won,40526,2025-06-07,2025-10-14,100,LinkedIn,Cyber Liability Insurance,00Qd423d9ec3754
0060c953d45682f,Oscorp 6 - Cyber Liability Insurance,Closed Lost,21683,2025-01-28,2025-07-23,0,LinkedIn,Cyber Liability Insurance,00Qd95763615719
00634503b8dba33,Umbrella Corp 11 - Pension Fund Management,Closed Lost,72549,2025-08-09,2025-12-19,0,Partner,Pension Fund Management,00Qc7ab1c7e6227
006cb24fa06c7f8,Tyrell Corp 67 - Cyber Liability Insurance,Negotiation/Review,49978,2025-03-30,2025-05-20,90,Web,Cyber Liability Insurance,00Q099f69080bcb
0062e66fa933659,Vandelay Ind 88 - Cyber Liability Insurance,Closed Won,143877,2025-11-16,2026-05-15,100,Cold Call,Cyber Liability Insurance,00Q056d2b744921
0064596f7cac034,Umbrella Corp 24 - Group Health Insurance,Closed Won,843496,2025-01-13,2025-03-16,100,Partner,Group Health Insurance,00Q6264e4a93bbc
00696a52ee9b364,LexCorp 48 - Cyber Liability Insurance,Closed Won,36162,2025-10-01,2025-12-01,100,Trade Show,Cyber Liability Insurance,00Q5460f87cf3d4
0067829cb2ed8f0,Stark Ind 63 - Fleet Auto Insurance,Closed Won,454343,2025-03-29,2025-07-18,100,Cold Call,Fleet Auto Insurance,00Q6599181d9189
006488f84603fda,LexCorp 75 - Group Health Insurance,Closed Won,4804137,2025-10-12,2026-04-02,100,Web,Group Health Insurance,00Q0d1fb2360222
0062b6bf63a9c81,Gekko & Co 51 - Directors & Officers (D&O),Negotiation/Review,51365,2025-08-09,2025-10-10,90,Trade Show,Directors & Officers (D&O),00Qcd063546bc92
006a8fdb4bafd96,Virtucon 57 - Pension Fund Management,Closed Won,4328,2025-01-25,2025-07-07,100,Cold Call,Pension Fund Management,00Qd27ca7c5390f
0061f76bcb15335,Aperture Science 5 - Group Health Insurance,Closed Won,61589,2025-09-03,2026-02-08,100,Cold Call,Group Health Insurance,00Qeab61a5fe333
006b42705d07cbb,Hooli 73 - Cyber Liability Insurance,Closed Lost,2806376,2025-04-22,2025-07-26,0,LinkedIn,Cyber Liability Insurance,00Qc620d97ef849
006aae38fef1656,Acme Corp 53 - Corporate Life Insurance,Closed Won,2753,2025-03-04,2025-08-09,100,LinkedIn,Corporate Life Insurance,00Q3ac8041f448d
0067a13b377c61d,Massive Dynamic 99 - Fleet Auto Insurance,Closed Lost,293166,2025-11-10,2026-03-10,0,Cold Call,Fleet Auto Insurance,00Qcbfd87688557
0069521e942a575,Wayne Ent 68 - Commercial Property,Closed Won,1335733,2025-06-12,2025-07-28,100,Web,Commercial Property,00Q5620c5fbe292
00644833e1ecd29,Wayne Ent 18 - Pension Fund Management,Closed Won,87926,2025-08-04,2026-01-01,100,Partner,Pension Fund Management,00Q376d7a31b905
00612a48e53d29b,Acme Corp 75 - Cyber Liability Insurance,Closed Won,327859,2025-02-24,2025-07-23,100,LinkedIn,Cyber Liability Insurance,00Q1964a5c71063
0065dac6113dd3d,Acme Corp 24 - Fleet Auto Insurance,Closed Won,24465,2025-11-13,2026-04-18,100,Trade Show,Fleet Auto Insurance,00Q413ea4476ef7
0061dfae391e195,Cyberdyne 83 - Group Health Insurance,Closed Won,234056,2025-10-29,2026-04-14,100,LinkedIn,Group Health Insurance,00Q0496e886e0c6
006cc0cf1fd0c14,Globex 57 - Cyber Liability Insurance,Negotiation/Review,33725,2025-10-02,2026-01-02,90,Web,Cyber Liability Insurance,00Qb58d63a86b9f
00675fcdacc694d,MomCorp 44 - Cyber Liability Insurance,Closed Won,45357,2025-01-28,2025-05-17,100,Cold Call,Cyber Liability Insurance,00Q6fb098d9ad6e
0063e9eef20df2e,Virtucon 4 - Directors & Officers (D&O),Closed Lost,50309,2025-05-03,2025-07-01,0,Cold Call,Directors & Officers (D&O),00Qd809f5e8eead
00654d6d90d8b16,Virtucon 93 - Commercial Property,Closed Won,90443,2025-03-11,2025-07-29,100,Cold Call,Commercial Property,00Q1d5a97030600
006573cc3c45895,Soylent Corp 26 - Directors & Officers (D&O),Closed Lost,440225,2025-09-18,2026-02-28,0,Trade Show,Directors & Officers (D&O),00Q9e0d8ddb53d5
0061ce3682e530d,Globex 55 - Pension Fund Management,Closed Lost,136101,2025-01-11,2025-05-26,0,Web,Pension Fund Management,00Qfa315f4a62a2
00611cdc9b38e4f,Soylent Corp 33 - Group Health Insurance,Negotiation/Review,16411,2025-07-26,2025-12-30,90,Referral,Group Health Insurance,00Q694189425a7b
006c1bad24ccd4f,Dunder Mifflin 67 - Pension Fund Management,Closed Won,199741,2025-05-26,2025-10-30,100,Partner,Pension Fund Management,00Q043dd5b84ea9
00656d23f878b2b,Aperture Science 68 - Corporate Life Insurance,Closed Won,5291,2025-01-24,2025-05-13,100,Cold Call,Corporate Life Insurance,00Q2e516d760ab4
006771bcbb67ac6,Cyberdyne 71 - Commercial Property,Closed Won,25726,2025-07-15,2025-11-08,100,Cold Call,Commercial Property,00Q6f989e4a62fa
0067dd08c739611,MomCorp 45 - Corporate Life Insurance,Closed Lost,254897,2025-10-29,2025-12-09,0,Partner,Corporate Life Insurance,00Qf0cde509ee1b
006c502953182de,Soylent Corp 77 - Group Health Insurance,Closed Lost,132548,2025-09-21,2026-03-15,0,Partner,Group Health Insurance,00Qb34ae96b7561
00640b044b86541,Soylent Corp 20 - Group Health Insurance,Closed Lost,212778,2025-05-28,2025-09-27,0,LinkedIn,Group Health Insurance,00Q4060259b7fe1
00620bace4d052b,Umbrella Corp 31 - Group Health Insurance,Closed Won,36940,2025-05-10,2025-09-15,100,Trade Show,Group Health Insurance,00Qc25a5cbd6c6a
006235616616090,Massive Dynamic 25 - Cyber Liability Insurance,Closed Won,298743,2025-01-22,2025-05-06,100,Trade Show,Cyber Liability Insurance,00Q69437403b3a3
006698053482878,Vandelay Ind 29 - Commercial Property,Closed Lost,129459,2025-08-03,2025-12-04,0,Cold Call,Commercial Property,00Q12a63520aa80
0061f70247a569d,Massive Dynamic 65 - Directors & Officers (D&O),Closed Lost,109367,2025-08-11,2026-01-20,0,Partner,Directors & Officers (D&O),00Q005f08ade280
006ee63c4ad3880,LexCorp 80 - Corporate Life Insurance,Closed Won,7655,2025-06-02,2025-10-11,100,Web,Corporate Life Insurance,00Qa47a50284bff
0061ce68fbda03f,Soylent Corp 49 - Commercial Property,Closed Won,4211,2025-03-17,2025-08-19,100,Trade Show,Commercial Property,00Q93e33c8719e0
00684a6427cf6ff,Oscorp 52 - Cyber Liability Insurance,Closed Won,162384,2025-10-15,2026-02-25,100,LinkedIn,Cyber Liability Insurance,00Qe1bb4701a090
0067f4bb3f629cd,LexCorp 89 - Cyber Liability Insurance,Negotiation/Review,21700,2025-07-05,2025-12-22,90,Cold Call,Cyber Liability Insurance,00Q7ef29cdd6c8d
00670f9cf3f9bde,Aperture Science 75 - Commercial Property,Closed Won,37626,2025-03-08,2025-08-05,100,Cold Call,Commercial Property,00Q4676d739991c
0069b723a882c44,Initech 47 - Group Health Insurance,Closed Won,3164609,2025-11-11,2026-03-27,100,Trade Show,Group Health Insurance,00Q9469309ec257
00641bf47a33192,LexCorp 63 - Corporate Life Insurance,Closed Won,105346,2025-03-22,2025-06-04,100,Partner,Corporate Life Insurance,00Q1fc80993c331
006d9885eae92cf,Massive Dynamic 57 - Cyber Liability Insurance,Closed Lost,836679,2025-02-10,2025-07-10,0,Web,Cyber Liability Insurance,00Q8591011c313e
006c6821f0d9be0,Globex 48 - Cyber Liability Insurance,Closed Lost,168767,2025-08-18,2025-11-18,0,Trade Show,Cyber Liability Insurance,00Q838d9b50a1bb
00658da1281e6f7,Dunder Mifflin 73 - Pension Fund Management,Negotiation/Review,300156,2025-01-10,2025-06-29,90,Cold Call,Pension Fund Management,00Qcf8707c2adcb
006614db8198d1e,Dunder Mifflin 56 - Group Health Insurance,Negotiation/Review,145230,2025-02-17,2025-05-16,90,Cold Call,Group Health Insurance,00Qf1d0873dd3ed
00637c5be0c36d4,MomCorp 92 - Group Health Insurance,Closed Lost,147746,2025-04-10,2025-08-07,0,LinkedIn,Group Health Insurance,00Q9b729054f187
006a1a1a2607781,Umbrella Corp 93 - Fleet Auto Insurance,Closed Lost,53765,2025-01-12,2025-06-12,0,Partner,Fleet Auto Insurance,00Qadd65466d2c0
006ececf1275cec,Massive Dynamic 15 - Directors & Officers (D&O),Closed Lost,23179,2025-10-22,2026-02-15,0,Web,Directors & Officers (D&O),00Q0ba04c05cb89
006721d6335c6d6,Gekko & Co 66 - Commercial Property,Closed Won,45763,2025-09-28,2025-11-27,100,Partner,Commercial Property,00Q7188c162ca2a
006c316650491b7,Vandelay Ind 95 - Corporate Life Insurance,Negotiation/Review,195723,2025-05-27,2025-07-29,90,LinkedIn,Corporate Life Insurance,00Q9aabf0f6659a
006687d6bcb38d6,Initech 39 - Directors & Officers (D&O),Closed Lost,303714,2025-04-30,2025-06-27,0,Referral,Directors & Officers (D&O),00Qabaa6eba94e5
00681478453e827,Soylent Corp 37 - Pension Fund Management,Negotiation/Review,638636,2025-10-23,2025-12-11,90,Trade Show,Pension Fund Management,00Q295d05b0ccd2
006fae57a5cf0bc,Oscorp 75 - Commercial Property,Closed Won,21588,2025-01-02,2025-03-01,100,Partner,Commercial Property,00Q80b52d0d59b5
00608f367203b3f,Wayne Ent 47 - Commercial Property,Closed Lost,89978,2025-05-20,2025-10-28,0,Cold Call,Commercial Property,00Qa18619a920e8
006b48027caa491,Cyberdyne 81 - Commercial Property,Closed Won,53874,2025-09-20,2025-11-08,100,Cold Call,Commercial Property,00Q4a39aab0e4cd
0066fcabddf1d3e,Globex 27 - Pension Fund Management,Closed Won,35001,2025-06-26,2025-11-22,100,Trade Show,Pension Fund Management,00Q44324a732466
006f09ae2289bed,Hooli 17 - Fleet Auto Insurance,Negotiation/Review,25281,2025-02-26,2025-08-05,90,Trade Show,Fleet Auto Insurance,00Q52c5f9cd1785
00630ca336c134c,Acme Corp 62 - Group Health Insurance,Closed Lost,71422,2025-04-01,2025-09-14,0,Cold Call,Group Health Insurance,00Qf63123eff53b
00608cb972f5399,Umbrella Corp 8 - Directors & Officers (D&O),Closed Won,673984,2025-03-22,2025-04-27,100,LinkedIn,Directors & Officers (D&O),00Qe5f4bd4b9b62
00670d6f78d97e5,Tyrell Corp 83 - Group Health Insurance,Closed Lost,206639,2025-06-08,2025-08-11,0,LinkedIn,Group Health Insurance,00Qfcc8890e2c9a
006d9053bd8e0c9,Dunder Mifflin 13 - Group Health Insurance,Closed Won,663745,2025-02-06,2025-05-25,100,Web,Group Health Insurance,00Qefe79bec7ba8
006811f58b29ae6,Wayne Ent 63 - Group Health Insurance,Closed Won,30196,2025-10-19,2026-01-08,100,LinkedIn,Group Health Insurance,00Q761140e138d8
00660ea5f94e50a,Stark Ind 55 - Corporate Life Insurance,Closed Won,78257,2025-11-17,2026-02-08,100,Partner,Corporate Life Insurance,00Qad77d3b0754d
0069aa91963d161,Aperture Science 29 - Group Health Insurance,Negotiation/Review,42004,2025-03-05,2025-07-15,90,Partner,Group Health Insurance,00Q6ca5c33c6583
0060e0313a0f5ac,LexCorp 96 - Fleet Auto Insurance,Closed Won,356474,2025-05-15,2025-06-15,100,Partner,Fleet Auto Insurance,00Q51eae2305d6d
00639d591ac2080,Dunder Mifflin 86 - Directors & Officers (D&O),Closed Won,57717,2025-07-13,2025-12-10,100,Trade Show,Directors & Officers (D&O),00Q0a05435acb7f
0064730dbca822b,Cyberdyne 21 - Directors & Officers (D&O),Closed Won,62926,2025-02-27,2025-07-16,100,LinkedIn,Directors & Officers (D&O),00Q4fae31288d75
0066974a88618f1,Tyrell Corp 65 - Fleet Auto Insurance,Closed Won,65383,2025-01-07,2025-02-19,100,Cold Call,Fleet Auto Insurance,00Q37f175a26a3b
00624f9b0cef1fa,Dunder Mifflin 62 - Commercial Property,Negotiation/Review,32198,2025-06-21,2025-11-07,90,Trade Show,Commercial Property,00Q3876807cebaf
00601d741d775ba,Soylent Corp 85 - Fleet Auto Insurance,Closed Won,9686,2025-11-26,2026-02-27,100,Cold Call,Fleet Auto Insurance,00Qf70275be751c
0062a73a072b550,Acme Corp 36 - Pension Fund Management,Closed Lost,119971,2025-03-23,2025-08-28,0,Referral,Pension Fund Management,00Q61792ea272c3
006e491b3545d0d,Vandelay Ind 95 - Directors & Officers (D&O),Closed Won,172450,2025-01-28,2025-04-17,100,Referral,Directors & Officers (D&O),00Q111887d0f4bd
006a839a55a1fe1,Stark Ind 74 - Commercial Property,Negotiation/Review,967267,2025-02-22,2025-04-07,90,Cold Call,Commercial Property,00Q0adc0098a89d
006e27b53c8363a,Oscorp 10 - Corporate Life Insurance,Negotiation/Review,157750,2025-05-19,2025-09-12,90,Trade Show,Corporate Life Insurance,00Q86527b0972b7
0068c69a886b083,MomCorp 94 - Fleet Auto Insurance,Closed Lost,2769,2025-08-21,2025-12-05,0,Partner,Fleet Auto Insurance,00Qe7108d867401
006945e52998999,Stark Ind 62 - Pension Fund Management,Closed Lost,48112,2025-08-03,2025-12-07,0,Partner,Pension Fund Management,00Q4fbffe578f57
00638bd0afdbd26,Globex 42 - Directors & Officers (D&O),Closed Won,675698,2025-05-19,2025-07-31,100,Referral,Directors & Officers (D&O),00Q7a1077212a22
006559889284365,Acme Corp 63 - Group Health Insurance,Closed Lost,22392,2025-06-10,2025-10-07,0,Web,Group Health Insurance,00Qbe7a3ca4a28d
006a74db899030d,Initech 18 - Corporate Life Insurance,Closed Lost,31735,2025-05-13,2025-09-13,0,Referral,Corporate Life Insurance,00Q055c7f60a7c8
0069efc37fd2846,MomCorp 23 - Corporate Life Insurance,Closed Lost,168487,2025-07-25,2026-01-15,0,Referral,Corporate Life Insurance,00Q64f4b131052e
00619524ddaf539,Oscorp 19 - Commercial Property,Closed Won,11553,2025-01-05,2025-04-13,100,Trade Show,Commercial Property,00Q70debc7ae509
0060e73345fc3e5,Dunder Mifflin 94 - Group Health Insurance,Closed Won,256326,2025-06-06,2025-08-28,100,Partner,Group Health Insurance,00Q206cfe9edefd
006f03e84eb7fe8,Wayne Ent 36 - Group Health Insurance,Closed Lost,92810,2025-07-20,2025-08-29,0,Web,Group Health Insurance,00Q4d3e6bec1295
006e020d1403a95,Stark Ind 16 - Directors & Officers (D&O),Negotiation/Review,184725,2025-05-29,2025-11-18,90,Partner,Directors & Officers (D&O),00Q6756c4eab937
006ade375f4567e,Cyberdyne 39 - Corporate Life Insurance,Closed Won,15847,2025-08-17,2025-10-07,100,Web,Corporate Life Insurance,00Q9d2201d5f687
006ac422ca3097f,Massive Dynamic 55 - Fleet Auto Insurance,Closed Won,32372,2025-06-30,2025-11-03,100,Cold Call,Fleet Auto Insurance,00Q12f0eefe59e9
00629dc538bbb7c,Vandelay Ind 26 - Cyber Liability Insurance,Closed Won,78809,2025-07-24,2025-11-25,100,Web,Cyber Liability Insurance,00Qdcc2b8acf872
00622fce98c689d,MomCorp 77 - Pension Fund Management,Closed Won,26411,2025-05-15,2025-09-24,100,Referral,Pension Fund Management,00Q2cd5b1a487c4
006865c3fcc9ed0,MomCorp 98 - Directors & Officers (D&O),Closed Lost,58928,2025-10-21,2026-03-01,0,Web,Directors & Officers (D&O),00Qba0927e8480c
0066aa2ee6e1645,Massive Dynamic 13 - Group Health Insurance,Closed Won,1145296,2025-01-15,2025-05-20,100,Partner,Group Health Insurance,00Q3261f427f0eb
0065e354de420d5,Virtucon 14 - Corporate Life Insurance,Closed Won,31678,2025-03-02,2025-08-15,100,Referral,Corporate Life Insurance,00Q334f2c009c72
006637d019ff860,Wayne Ent 29 - Commercial Property,Closed Won,449325,2025-09-16,2026-01-18,100,Cold Call,Commercial Property,00Q9592898ad3b3
006d959d7b771a4,Virtucon 90 - Corporate Life Insurance,Negotiation/Review,19853,2025-11-09,2025-12-24,90,Trade Show,Corporate Life Insurance,00Qf88bd22aefae
0066f9235cdfcd5,Stark Ind 96 - Directors & Officers (D&O),Closed Lost,1441214,2025-01-30,2025-06-14,0,Partner,Directors & Officers (D&O),00Q000f2c2b2571
006cb02e3bd6306,Umbrella Corp 77 - Cyber Liability Insurance,Closed Won,65838,2025-06-07,2025-08-12,100,Cold Call,Cyber Liability Insurance,00Q34ba027ec276
006fee98b63d4c2,Virtucon 92 - Fleet Auto Insurance,Closed Won,176252,2025-08-24,2025-09-30,100,Trade Show,Fleet Auto Insurance,00Qca86ee11232f
00654e591c53bda,Hooli 95 - Commercial Property,Closed Won,1446698,2025-02-17,2025-04-24,100,Cold Call,Commercial Property,00Qb299ad8828f5
006034fe6de1b1f,Cyberdyne 17 - Group Health Insurance,Closed Won,10629,2025-02-16,2025-07-02,100,Partner,Group Health Insurance,00Q5415d28f7142
006bd6c1c383e56,Umbrella Corp 33 - Pension Fund Management,Closed Won,20938,2025-09-30,2026-03-20,100,LinkedIn,Pension Fund Management,00Qf03ed6f31deb
